Link check report for repository root: E:\IVS\Website\ivs\ivs.github.io
Files scanned: 97

404.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
404.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
404.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
404.html -> /js/animations.js -> ..\..\..\..\js\animations.js -> MISSING
404.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
about.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
about.html -> /images/logo/logo-192.png -> ..\..\..\..\images\logo\logo-192.png -> MISSING
about.html -> /manifest.json -> ..\..\..\..\manifest.json -> MISSING
about.html -> /css/styles.min.css -> ..\..\..\..\css\styles.min.css -> MISSING
about.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
about.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
about.html -> /videos/ivs_background_video1.mp4 -> ..\..\..\..\videos\ivs_background_video1.mp4 -> MISSING
about.html -> profile-company-ivsjsc.html -> profile-company-ivsjsc.html -> OK
about.html -> /images/logo.png -> ..\..\..\..\images\logo.png -> MISSING
about.html -> /Pages/ivs-academy.html -> ..\..\..\..\Pages\ivs-academy.html -> MISSING
about.html -> /Pages/education.html -> ..\..\..\..\Pages\education.html -> MISSING
about.html -> /Pages/ivscelestech-tcnoithat.html -> ..\..\..\..\Pages\ivscelestech-tcnoithat.html -> MISSING
about.html -> /Pages/consulting.html -> ..\..\..\..\Pages\consulting.html -> MISSING
about.html -> /images/team/nguyen-minh-triet.png -> ..\..\..\..\images\team\nguyen-minh-triet.png -> MISSING
about.html -> /images/team/rachid-belferar.png -> ..\..\..\..\images\team\rachid-belferar.png -> MISSING
about.html -> /images/team/salma-mahzoum.png -> ..\..\..\..\images\team\salma-mahzoum.png -> MISSING
about.html -> /images/team/kimball-allen-thomson.png -> ..\..\..\..\images\team\kimball-allen-thomson.png -> MISSING
about.html -> /images/logo/thepowertoinspire.png -> ..\..\..\..\images\logo\thepowertoinspire.png -> MISSING
about.html -> /images/logo/iivsa.jpg -> ..\..\..\..\images\logo\iivsa.jpg -> MISSING
about.html -> /images/pages/eov2025/iu-english-academy.png -> ..\..\..\..\images\pages\eov2025\iu-english-academy.png -> MISSING
about.html -> /contact.html -> ..\..\..\..\contact.html -> MISSING
about.html -> /js/firebase-init.js -> ..\..\..\..\js\firebase-init.js -> MISSING
about.html -> /js/bundle.min.js -> ..\..\..\..\js\bundle.min.js -> MISSING
admin.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
admin.html -> /css/responsive-enhancements.css -> ..\..\..\..\css\responsive-enhancements.css -> MISSING
admin.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
admin.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
admin.html -> /images/logo.png -> ..\..\..\..\images\logo.png -> MISSING
admin.html -> /images/team/default-avatar.png -> ..\..\..\..\images\team\default-avatar.png -> MISSING
admin.html -> /js/security-enhancements.js -> ..\..\..\..\js\security-enhancements.js -> MISSING
admin.html -> /js/content-management.js -> ..\..\..\..\js\content-management.js -> MISSING
admin.html -> /js/accessibility-enhancements.js -> ..\..\..\..\js\accessibility-enhancements.js -> MISSING
admin.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
admin.html -> /js/animations.js -> ..\..\..\..\js\animations.js -> MISSING
admin.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
analytics.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
analytics.html -> /css/responsive-enhancements.css -> ..\..\..\..\css\responsive-enhancements.css -> MISSING
analytics.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
analytics.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
analytics.html -> /images/logo.png -> ..\..\..\..\images\logo.png -> MISSING
analytics.html -> /js/security-enhancements.js -> ..\..\..\..\js\security-enhancements.js -> MISSING
analytics.html -> /js/analytics-tracking.js -> ..\..\..\..\js\analytics-tracking.js -> MISSING
analytics.html -> /js/accessibility-enhancements.js -> ..\..\..\..\js\accessibility-enhancements.js -> MISSING
analytics.html -> /js/utils.js -> ..\..\..\..\js\utils.js -> MISSING
analytics.html -> /js/animations.js -> ..\..\..\..\js\animations.js -> MISSING
analytics.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
auth.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
auth.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
auth.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
auth.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
auth.html -> /videos/ivsblue.mp4 -> ..\..\..\..\videos\ivsblue.mp4 -> MISSING
auth.html -> /js/loadComponents.js -> ..\..\..\..\js\loadComponents.js -> MISSING
consulting.html -> /images/favicon.ico -> ..\..\..\..\images\favicon.ico -> MISSING
consulting.html -> /css/styles.css -> ..\..\..\..\css\styles.css -> MISSING
consulting.html -> /css/style.css -> ..\..\..\..\css\style.css -> MISSING
consulting.html -> /css/animations.css -> ..\..\..\..\css\animations.css -> MISSING
consulting.html -> /Pages/psb_introduction.html -> ..\..\..\..\Pages\psb_introduction.html -> MISSING
consulting.html -> /Pages/litigation_consulting.html -> ..\..\..\..\Pages\litigation_consulting.html -> MISSING
consulting.html -> /Pages/thanhlaptrungtam.html -> ..\..\..\..\Pages\thanhlaptrungtam.html -> MISSING
consulting.html -> /Pages/foreign-teacher-services.html -> ..\..\..\..\Pages\foreign-teacher-services.html -> MISSING
consulting.html -> /Pages/lkmamnon.html -> ..\..\..\..\Pages\lkmamnon.html -> MISSING
consulting.html -> /Pages/lktieuhoc.html -> ..\..\..\..\Pages\lktieuhoc.html -> MISSING
